report_year,state,city_town,so2_annual_avg,no2_annual_avg,pm10_annual_avg,pm25_annual_avg
2023,West Bengal,Amtala,4,28,83,41
2023,West Bengal,Asansol+Raniganj,11,29,115,60
2023,West Bengal,Baharampur,3,19,70,39
2023,West Bengal,Balurghat,3,19,70,42
2023,West Bengal,Bankura,2,14,66,41
2023,West Bengal,Bansberia (Tribeni),3,22,75,44
2023,West Bengal,Bardhaman,3,14,67,40
2023,West Bengal,Barrckpore,4,23,81,48
2023,West Bengal,Baruipur,4,29,83,40
2023,West Bengal,Birpara,3,19,69,41
2023,West Bengal,Bolpur,2,12,63,37
2023,West Bengal,Chinsura,3,21,73,43
2023,West Bengal,Coochbihar,2,17,66,37
2023,West Bengal,Dankuni,4,23,77,46
2023,West Bengal,Darjeeling,2,12,52,28
2023,West Bengal,Durgapur,19,28,110,52
2023,West Bengal,English Bazaar/Malda,3,20,72,43
2023,West Bengal,Ghatal,3,19,68,40
2023,West Bengal,Haldia,13,19,86,37
2023,West Bengal,Howrah,8,30,115,58
2023,West Bengal,Jaigaon,4,22,76,45
2023,West Bengal,Jalpaiguri,3,19,68,40
2023,West Bengal,Jhargram,3,20,73,43
2023,West Bengal,Kalimpong,2,12,52,28
2023,West Bengal,Kharagpur,6,25,86,52
2023,West Bengal,Kolkata,8,26,94,48
2023,West Bengal,Krishnanagar,3,19,69,40
2023,West Bengal,Madhyamgram,4,23,75,46
2023,West Bengal,Makhrapara /Alipurduar,3,17,65,37
2023,West Bengal,Medinipur,3,22,75,44
2023,West Bengal,Purulia,2,12,63,37
2023,West Bengal,Raigunj,3,20,72,40
2023,West Bengal,Rampurhat,2,13,66,40
2023,West Bengal,Ranaghat,3,20,72,41
2023,West Bengal,Rishra,4,24,80,48
2023,West Bengal,Sankrail,6,33,105,53
2023,West Bengal,Siliguri,7,26,80,40
2023,West Bengal,Suri,2,13,66,39
2023,West Bengal,Tamluk,4,23,77,46
2023,West Bengal,Uluberia,6,33,102,51
2023,West Bengal,Uttarpara,3,20,70,40
